ID,Date,Symbol,Open,High,Low,Close,Volume,Market Cap,Year,Month,Day,DayOfWeek
801,2017-10-16,ETH,336.71,349.35,332.04,333.38,692884992.0,32029241344.0,2017,10,10,0
802,2017-10-17,ETH,333.48,333.48,311.79,317.08,509924000.0,31727747072.0,2017,10,10,1
803,2017-10-18,ETH,316.94,317.24,290.64,314.32,606113984.0,30160478208.0,2017,10,10,2
804,2017-10-19,ETH,314.54,316.71,305.83,308.09,349830016.0,29937942528.0,2017,10,10,3
805,2017-10-20,ETH,308.05,311.44,303.49,304.01,396672992.0,29326307328.0,2017,10,10,4
806,2017-10-21,ETH,303.57,303.93,291.77,300.19,408014016.0,28906563584.0,2017,10,10,5
807,2017-10-22,ETH,300.55,305.5,292.81,295.45,327387008.0,28624836608.0,2017,10,10,6
808,2017-10-23,ETH,295.1,295.75,277.58,286.95,482336000.0,28111425536.0,2017,10,10,0
809,2017-10-24,ETH,287.12,311.96,282.66,298.33,684281024.0,27357478912.0,2017,10,10,1
810,2017-10-25,ETH,298.44,301.85,290.72,297.92,325040000.0,28441989120.0,2017,10,10,2
811,2017-10-26,ETH,298.02,301.07,295.22,296.53,270272992.0,28408424448.0,2017,10,10,3
812,2017-10-27,ETH,296.51,299.26,294.06,297.42,257168992.0,28270110720.0,2017,10,10,4
813,2017-10-28,ETH,297.92,300.36,293.58,296.3,264424000.0,28410406912.0,2017,10,10,5
814,2017-10-29,ETH,296.38,313.76,296.38,305.09,551752000.0,28270163968.0,2017,10,10,6
815,2017-10-30,ETH,304.78,310.5,304.35,307.75,331441984.0,29077594112.0,2017,10,10,0
816,2017-10-31,ETH,307.38,310.55,305.88,305.88,369583008.0,29331517440.0,2017,10,10,1
817,2017-11-01,ETH,305.76,306.4,290.58,291.69,553864000.0,29183592448.0,2017,11,11,2
818,2017-11-02,ETH,290.73,293.91,281.17,287.43,904900992.0,27754237952.0,2017,11,11,3
819,2017-11-03,ETH,288.5,308.31,287.69,305.71,646339968.0,27547410432.0,2017,11,11,4
820,2017-11-04,ETH,305.48,305.48,295.8,300.47,416479008.0,29175347200.0,2017,11,11,5
821,2017-11-05,ETH,300.04,301.37,295.12,296.26,337657984.0,28661499904.0,2017,11,11,6
822,2017-11-06,ETH,296.43,305.42,293.72,298.89,579358976.0,28322701312.0,2017,11,11,0
823,2017-11-07,ETH,298.57,304.84,290.77,294.66,540766016.0,28533338112.0,2017,11,11,1
824,2017-11-08,ETH,294.27,318.7,293.1,309.07,967955968.0,28128708608.0,2017,11,11,2
825,2017-11-09,ETH,308.64,329.45,307.06,320.88,893249984.0,29508962304.0,2017,11,11,3
826,2017-11-10,ETH,320.67,324.72,294.54,299.25,885985984.0,30665191424.0,2017,11,11,4
827,2017-11-11,ETH,298.59,319.45,298.19,314.68,842300992.0,28559437824.0,2017,11,11,5
828,2017-11-12,ETH,314.69,319.15,298.51,307.91,1613479936.0,30106191872.0,2017,11,11,6
829,2017-11-13,ETH,307.02,328.42,307.02,316.72,1041889984.0,29379016704.0,2017,11,11,0
830,2017-11-14,ETH,316.76,340.18,316.76,337.63,1069680000.0,30317289472.0,2017,11,11,1
831,2017-11-15,ETH,337.96,340.91,329.81,333.36,722665984.0,32353241088.0,2017,11,11,2
832,2017-11-16,ETH,333.44,336.16,323.61,330.92,797254016.0,31927291904.0,2017,11,11,3
833,2017-11-17,ETH,330.17,334.96,327.52,332.39,621732992.0,31620308992.0,2017,11,11,4
834,2017-11-18,ETH,331.98,349.62,327.69,347.61,649638976.0,31800690688.0,2017,11,11,5
835,2017-11-19,ETH,347.4,371.29,344.74,354.39,1181529984.0,33284902912.0,2017,11,11,6
836,2017-11-20,ETH,354.09,372.14,353.29,366.73,807027008.0,33933447168.0,2017,11,11,0
837,2017-11-21,ETH,367.44,372.47,350.69,360.4,949912000.0,35220160512.0,2017,11,11,1
838,2017-11-22,ETH,360.31,381.42,360.15,380.65,800819008.0,34544005120.0,2017,11,11,2
839,2017-11-23,ETH,381.44,425.55,376.09,410.17,1845680000.0,36577304576.0,2017,11,11,3
840,2017-11-24,ETH,412.5,480.97,402.76,474.91,2292829952.0,39564333056.0,2017,11,11,4
841,2017-11-25,ETH,475.68,485.19,461.05,466.28,1422080000.0,45633404928.0,2017,11,11,5
842,2017-11-26,ETH,465.97,472.72,451.61,471.33,1197779968.0,44712116224.0,2017,11,11,6
843,2017-11-27,ETH,471.53,493.4,468.48,480.36,1396480000.0,45254983680.0,2017,11,11,0
844,2017-11-28,ETH,480.52,482.48,466.35,472.9,1346499968.0,46127161344.0,2017,11,11,1
845,2017-11-29,ETH,473.28,522.31,425.07,427.52,2675940096.0,45442129920.0,2017,11,11,2
846,2017-11-30,ETH,431.21,465.5,401.24,447.11,1903040000.0,41411944448.0,2017,11,11,3
847,2017-12-01,ETH,445.21,472.61,428.31,466.54,1247879936.0,42764972032.0,2017,12,12,4
848,2017-12-02,ETH,466.85,476.24,456.65,463.45,943649984.0,44853297152.0,2017,12,12,5
849,2017-12-03,ETH,463.7,482.81,451.85,465.85,990556992.0,44560453632.0,2017,12,12,6
850,2017-12-04,ETH,466.05,474.78,453.31,470.2,1005550016.0,44795654144.0,2017,12,12,0
851,2017-12-05,ETH,470.29,473.56,457.66,463.28,1216720000.0,45212790784.0,2017,12,12,1
852,2017-12-06,ETH,462.6,462.71,420.21,428.59,1998259968.0,44483092480.0,2017,12,12,2
853,2017-12-07,ETH,426.37,441.4,414.41,434.41,2129570048.0,41007566848.0,2017,12,12,3
854,2017-12-08,ETH,434.99,466.06,422.37,456.03,2336379904.0,41845780480.0,2017,12,12,4
855,2017-12-09,ETH,457.34,504.15,456.25,473.5,2003849984.0,44005625856.0,2017,12,12,5
856,2017-12-10,ETH,472.79,472.79,429.51,441.72,1404179968.0,45501435904.0,2017,12,12,6
857,2017-12-11,ETH,440.36,516.97,439.1,515.14,1771440000.0,42389250048.0,2017,12,12,0
858,2017-12-12,ETH,522.29,657.32,504.49,651.43,5179829760.0,50286358528.0,2017,12,12,1
859,2017-12-13,ETH,644.91,747.99,597.8,702.77,4524539904.0,62105632768.0,2017,12,12,2
860,2017-12-14,ETH,700.59,753.12,664.99,695.82,3821580032.0,67482947584.0,2017,12,12,3
861,2017-12-15,ETH,696.38,697.13,621.06,684.45,2758710016.0,67090915328.0,2017,12,12,4
862,2017-12-16,ETH,686.19,718.39,680.79,696.21,2165690112.0,66124197888.0,2017,12,12,5
863,2017-12-17,ETH,696.24,735.83,696.24,719.97,2147389952.0,67106369536.0,2017,12,12,6
864,2017-12-18,ETH,721.73,803.93,689.23,794.65,3249230080.0,69578416128.0,2017,12,12,0
865,2017-12-19,ETH,793.9,881.94,785.34,826.82,4096549888.0,76552151040.0,2017,12,12,1
866,2017-12-20,ETH,827.52,845.06,756.0,819.09,3969939968.0,79810617344.0,2017,12,12,2
867,2017-12-21,ETH,820.24,880.54,792.69,821.06,3569060096.0,79125323776.0,2017,12,12,3
868,2017-12-22,ETH,822.64,827.68,543.76,674.86,4977710080.0,79374360576.0,2017,12,12,4
869,2017-12-23,ETH,681.32,763.9,679.73,719.39,2480339968.0,65752117248.0,2017,12,12,5
